STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
09,130,660103,2766,+41.315141,-072.276265
09,130,660104,1442,+41.289440,-072.285055
09,130,670100,4725,+41.305173,-072.395595
09,130,670200,5756,+41.283498,-072.374738
09,130,680101,3161,+41.311560,-072.460127
09,130,680102,3608,+41.280983,-072.453357
09,130,680200,6455,+41.528071,-072.629730
09,130,990100,0,+41.230831,-072.398599
09,140,110100,2682,+41.316189,-073.094224
09,140,110201,4763,+41.302270,-073.083014
09,140,110202,5078,+41.279623,-073.097003
09,140,110301,6428,+41.303009,-073.112825
09,140,110302,3355,+41.274250,-073.137445
09,140,110400,5051,+41.288604,-073.171329
09,140,110500,5561,+41.311162,-073.163612
09,140,110601,2907,+41.333877,-073.147621
09,140,110602,5044,+41.340803,-073.132092
09,140,120100,6375,+41.317932,-073.064942
09,140,120200,5950,+41.329057,-073.095054
09,140,125100,4367,+41.332667,-073.057493
09,140,125200,5888,+41.344669,-073.069955
09,140,125300,5167,+41.344133,-073.088857
09,140,125400,3496,+41.355671,-073.079484
09,140,130101,5136,+41.402105,-073.058749
09,140,130102,3177,+41.375940,-073.074031
09,140,130201,3566,+41.365947,-073.114017
09,140,130202,4869,+41.391078,-073.090937
09,140,341100,6000,+41.439065,-073.053666
09,140,342100,3385,+41.638194,-073.207428
09,140,343101,5128,+41.529952,-072.885899
09,140,343102,4000,+41.511902,-072.888593
09,140,343200,6022,+41.529750,-072.928554
09,140,343300,6918,+41.483192,-072.896291
09,140,343400,6665,+41.483769,-072.921214
09,140,344100,4656,+41.538635,-073.104311
09,140,344200,2918,+41.517560,-073.136440
09,140,345100,6858,+41.504790,-073.041275
09,140,345201,7148,+41.484348,-073.037616
09,140,345202,4085,+41.477303,-073.012909
09,140,345300,6330,+41.486113,-073.064841
09,140,345400,7118,+41.501689,-073.072678
09,140,346101,6722,+41.420853,-073.114149
09,140,346102,5984,+41.430090,-073.151405
09,140,347100,5712,+41.505249,-072.966474
09,140,347200,3669,+41.501930,-072.996975
09,140,348111,2455,+41.477147,-073.275797
09,140,348122,4198,+41.489936,-073.184468
09,140,348123,5686,+41.450389,-073.205587
09,140,348124,2534,+41.480420,-073.227536
09,140,348125,5006,+41.489202,-073.239977
09,140,349100,4792,+41.668846,-073.093459
09,140,349200,2650,+41.679903,-073.072408
09,140,350101,4697,+41.557889,-073.041090
09,140,350200,3695,+41.564956,-073.034602
09,140,350300,2235,+41.561975,-073.027130
09,140,350400,2846,+41.557289,-073.029533
09,140,350500,2693,+41.547303,-073.035074
09,140,350800,6010,+41.565756,-073.046581
09,140,350900,2180,+41.575300,-073.045275
09,140,351000,4107,+41.575471,-073.034752
09,140,351100,4341,+41.570917,-073.014924
09,140,351200,4146,+41.555687,-073.021598
09,140,351300,5557,+41.550691,-073.011694
09,140,351400,4087,+41.540443,-073.029831
09,140,351500,4975,+41.528704,-073.032728
09,140,351601,3541,+41.539539,-073.050547
09,140,351602,6201,+41.534248,-073.058213
09,140,351700,3015,+41.544192,-073.048255
09,140,351800,4403,+41.552612,-073.069541
09,140,351900,2840,+41.530302,-073.066843
09,140,352000,4996,+41.566900,-073.072770
09,140,352100,4359,+41.578576,-073.078565
09,140,352200,2582,+41.583974,-073.063151
09,140,352300,3106,+41.581270,-073.048102
09,140,352400,3461,+41.600289,-073.030152
09,140,352500,3084,+41.588526,-073.030416
09,140,352600,5450,+41.559201,-072.994766
09,140,352701,3415,+41.547946,-072.975940
09,140,352702,5996,+41.548751,-072.990060
09,140,352800,6385,+41.534054,-072.996028
09,140,360100,5285,+41.607319,-073.114112
09,140,360200,7720,+41.607808,-073.130407
09,140,360300,3271,+41.595916,-073.078649
09,140,360400,5829,+41.588475,-073.092777
09,140,361100,6418,+41.574115,-072.969719
09,140,361200,5446,+41.602033,-073.001104
09,140,361300,4278,+41.622380,-072.974361
09,140,362101,4136,+41.531184,-073.204616
09,140,362102,5587,+41.569778,-073.209765
09,140,405100,3164,+41.679805,-072.933804
09,140,405200,4225,+41.679954,-072.913429
09,140,405300,6105,+41.688195,-072.901321
09,140,405401,3421,+41.662609,-072.893930
09,140,405402,4257,+41.662230,-072.909980
09,140,405500,5266,+41.659179,-072.940162
09,140,405600,7398,+41.662834,-072.962032
09,140,405700,2061,+41.675699,-072.958364
09,140,405801,3176,+41.693037,-072.947954
09,140,405802,4172,+41.696652,-072.971363
09,140,405900,4647,+41.701142,-072.936948
09,140,406001,4113,+41.706086,-072.920642
09,140,406002,4754,+41.709995,-072.904530
